(-30, 71)
(74, 44)
(62, 14)
(-15, 60)
(10, 88)
(-28, -88)
(-40, 20)
(22, -43)
(-57, 12)
(40, -13)
(-81, -71)
(34, -92)
(-17, -52)
(93, -54)
(-42, -5)
(-97, -14)
(-23, -84)
(-37, 100)
(-78, -46)
(-3, -22)
(-19, 91)
(-79, 55)
(67, -77)
(-68, -17)
(35, -8)
(-28, 92)
(62, -37)
(68, 48)
(-12, 44)
(-84, 0)
(-22, 60)
(96, 2)
(-88, 20)
(-2, -58)
(31, 5)
(86, -8)
(-56, -80)
(-9, -35)
(-70, -26)
(54, 30)
(100, -25)
(1, -26)
(77, 56)
(41, 40)
(-43, 65)
(93, 92)
(-54, -24)
(43, 2)
(79, 2)
(-57, -64)
(52, 45)
(-50, 51)
(57, 24)
(-76, -68)
(-96, 69)
(76, 14)
(12, -49)
(-20, -43)
(31, 6)
(-28, -75)
(-62, 53)
(1, -15)
(-58, 37)
(-53, -87)
(-85, 26)
(-52, 19)
(2, -83)
(-99, -13)
(-15, 21)
(4, 63)
(-4, 77)
(81, 62)
(45, 30)
(-19, 94)
(50, 16)
(57, 12)
(-58, -62)
(77, 96)
(82, 38)
(29, 11)
(-22, -98)
(-6, -1)
(48, 9)
(37, -3)
(100, -69)
(91, -5)
(-77, 91)
(82, 64)
(-44, -73)
(61, 91)
(28, -70)
(-40, 25)
(-91, -88)
(-75, -5)
(56, -72)
(75, 7)
(-68, 62)
(36, -14)
(7, -30)
(25, -44)
